Patient_ID,Dataset,n_pep,rho,rho_z,in_main_analysis,note
1,DS1,13,-0.40659340659340654,-0.4315231086776713,False,DS1: sensitivity only
2,DS1,15,-0.39642857142857135,-0.41940442253114607,False,DS1: sensitivity only
3,DS1,8,0.6904761904761906,0.8488652597898895,False,DS1: sensitivity only
4,DS1,8,-0.5269555552418339,-0.585920925618745,False,DS1: sensitivity only
5,DS1,15,-0.2928571428571428,-0.30168859056561786,False,DS1: sensitivity only
6,DS1,23,0.13738572200982793,0.13826002263095177,False,DS1: sensitivity only
101,DS2,9,0.05085476277156078,0.0508986712382873,True,single-tool floor (no training)
102,DS2,6,0.5428571428571429,0.6081976621622467,True,single-tool floor (no training)
104,DS2,14,0.2684270051151402,0.2751679148498691,True,single-tool floor (no training)
105,DS2,16,0.5125189652538962,0.5661401711204911,True,single-tool floor (no training)
106,DS2,13,0.5054945054945055,0.5566592180289025,True,single-tool floor (no training)
107,DS2,8,-0.19047619047619052,-0.19283124040599237,True,single-tool floor (no training)
108,DS2,12,-0.12280701754385967,-0.12343003896576293,True,single-tool floor (no training)
109,DS2,10,-0.05539117094069973,-0.05544792551860091,True,single-tool floor (no training)
110,DS2,13,0.4044020331923362,0.42890050245351774,True,single-tool floor (no training)
