patient_id,dataset,n_pep,theta_selected,lopo_test_rho,oracle_rho
101,DS2,9,fixavg,0.166667,0.166667
102,DS2,6,fixavg,0.371429,0.371429
104,DS2,14,fixavg,0.475248,0.475248
105,DS2,16,fixavg,0.552941,0.552941
106,DS2,13,fixavg,0.71978,0.71978
107,DS2,8,fixavg,-0.142857,-0.142857
108,DS2,12,fixavg,-0.283713,-0.283713
109,DS2,10,fixavg,-0.054545,-0.054545
110,DS2,13,fixavg,0.521978,0.521978
SUMMARY,DS2,101,oracle=fixavg,0.328129,0.328129
