patient_id,dice,seed,git_commit
182,0.8525288701057434,42,9d844b58
183,0.8552206754684448,42,9d844b58
184,0.8700596690177917,42,9d844b58
185,0.8738918304443359,42,9d844b58
186,0.871256947517395,42,9d844b58
187,0.8651253581047058,42,9d844b58
188,0.8487565517425537,42,9d844b58
189,0.7436861395835876,42,9d844b58
190,0.8491761684417725,42,9d844b58
191,0.8645475506782532,42,9d844b58
192,0.8862594962120056,42,9d844b58
193,0.8984928727149963,42,9d844b58
194,0.8721044659614563,42,9d844b58
195,0.8728507161140442,42,9d844b58
196,0.8040952086448669,42,9d844b58
197,0.9117493033409119,42,9d844b58
198,0.8335349559783936,42,9d844b58
199,0.8055902719497681,42,9d844b58
200,0.8804869651794434,42,9d844b58
201,0.8446220755577087,42,9d844b58
202,0.8527656197547913,42,9d844b58
203,0.846187174320221,42,9d844b58
204,0.8570773005485535,42,9d844b58
205,0.8757966160774231,42,9d844b58
206,0.8800516128540039,42,9d844b58
207,0.8657230734825134,42,9d844b58
208,0.8696995973587036,42,9d844b58
209,0.8811154365539551,42,9d844b58
210,0.8647079467773438,42,9d844b58
211,0.8991674184799194,42,9d844b58
212,0.9000845551490784,42,9d844b58
213,0.7845999002456665,42,9d844b58
214,0.674836277961731,42,9d844b58
215,0.867087721824646,42,9d844b58
216,0.8816108703613281,42,9d844b58
217,0.8338560461997986,42,9d844b58
218,0.8360051512718201,42,9d844b58
219,0.8274734616279602,42,9d844b58
220,0.8137491345405579,42,9d844b58
221,0.8778215646743774,42,9d844b58
222,0.8714221119880676,42,9d844b58
223,0.871890664100647,42,9d844b58
224,0.8653916716575623,42,9d844b58
225,0.8611037731170654,42,9d844b58
226,0.8662257194519043,42,9d844b58
227,0.8542267680168152,42,9d844b58
228,0.8638194799423218,42,9d844b58
229,0.8886716961860657,42,9d844b58
230,0.8942157626152039,42,9d844b58
231,0.8514026403427124,42,9d844b58
232,0.8832141160964966,42,9d844b58
233,0.8443599939346313,42,9d844b58
234,0.8795658946037292,42,9d844b58
235,0.8656355738639832,42,9d844b58
236,0.8553139567375183,42,9d844b58
237,0.86955326795578,42,9d844b58
238,0.8498618006706238,42,9d844b58
239,0.8866363167762756,42,9d844b58
240,0.9078750610351562,42,9d844b58
241,0.8846235275268555,42,9d844b58
242,0.8661122918128967,42,9d844b58
243,0.8753255605697632,42,9d844b58
244,0.897530734539032,42,9d844b58
245,0.9068472981452942,42,9d844b58
246,0.8957378268241882,42,9d844b58
247,0.8572784662246704,42,9d844b58
248,0.8650107979774475,42,9d844b58
249,0.8787294626235962,42,9d844b58
250,0.9000908136367798,42,9d844b58
251,0.9028735756874084,42,9d844b58
252,0.8893624544143677,42,9d844b58
253,0.8929314613342285,42,9d844b58
254,0.9007381796836853,42,9d844b58
255,0.8666558265686035,42,9d844b58
256,0.8806405663490295,42,9d844b58
257,0.8646806478500366,42,9d844b58
258,0.8821730017662048,42,9d844b58
259,0.8912249803543091,42,9d844b58
